ticker_1,ticker_2,sector,eg_pvalue,eg_direction,eg_significant,beta,jo_trace_stat,jo_trace_cv,jo_significant,both_significant,half_life_days,hl_tradeable
SUNPHARMA.NS,SANOFI.NS,pharma,0.528129,SANOFI.NS~SUNPHARMA.NS,False,4.075998,7.6239,15.4943,False,False,131.79,False
SUNPHARMA.NS,LAURUSLABS.NS,pharma,0.956809,LAURUSLABS.NS~SUNPHARMA.NS,False,0.663751,6.069,15.4943,False,False,775.57,False
SUNPHARMA.NS,GRANULES.NS,pharma,0.614325,GRANULES.NS~SUNPHARMA.NS,False,1.210604,7.0017,15.4943,False,False,169.97,False
SUNPHARMA.NS,NATCOPHARM.NS,pharma,0.689194,NATCOPHARM.NS~SUNPHARMA.NS,False,4.838519,4.9599,15.4943,False,False,163.0,False
SUNPHARMA.NS,GLENMARK.NS,pharma,0.466331,GLENMARK.NS~SUNPHARMA.NS,False,2.06425,6.2155,15.4943,False,False,125.3,True
CIPLA.NS,DRREDDY.NS,pharma,0.453392,DRREDDY.NS~CIPLA.NS,False,1.543215,7.9239,15.4943,False,False,87.21,True
CIPLA.NS,LUPIN.NS,pharma,0.839958,CIPLA.NS~LUPIN.NS,False,0.724755,1.8854,15.4943,False,False,384.37,False
CIPLA.NS,AUROPHARMA.NS,pharma,0.645346,AUROPHARMA.NS~CIPLA.NS,False,2.661788,4.17,15.4943,False,False,150.91,False
CIPLA.NS,DIVISLAB.NS,pharma,0.855977,DIVISLAB.NS~CIPLA.NS,False,1.17458,4.4388,15.4943,False,False,225.46,False
CIPLA.NS,TORNTPHARM.NS,pharma,0.254665,CIPLA.NS~TORNTPHARM.NS,False,1.019814,13.9253,15.4943,False,False,59.95,True
CIPLA.NS,ALKEM.NS,pharma,0.365104,ALKEM.NS~CIPLA.NS,False,1.354005,7.9323,15.4943,False,False,73.21,True
CIPLA.NS,IPCALAB.NS,pharma,0.59402,IPCALAB.NS~CIPLA.NS,False,1.558368,7.3994,15.4943,False,False,115.03,True
CIPLA.NS,BIOCON.NS,pharma,0.719105,BIOCON.NS~CIPLA.NS,False,-315.079642,5.3143,15.4943,False,False,162.89,False
CIPLA.NS,ABBOTINDIA.NS,pharma,0.140249,ABBOTINDIA.NS~CIPLA.NS,False,1.274663,12.7963,15.4943,False,False,85.74,True
CIPLA.NS,GLAXO.NS,pharma,0.326767,GLAXO.NS~CIPLA.NS,False,3.576882,5.4375,15.4943,False,False,82.67,True
CIPLA.NS,PFIZER.NS,pharma,0.612259,PFIZER.NS~CIPLA.NS,False,3.714333,5.0795,15.4943,False,False,143.03,False
CIPLA.NS,ZYDUSLIFE.NS,pharma,0.593736,CIPLA.NS~ZYDUSLIFE.NS,False,0.830811,5.1846,15.4943,False,False,128.91,False
CIPLA.NS,SANOFI.NS,pharma,0.408949,SANOFI.NS~CIPLA.NS,False,2.968033,7.3971,15.4943,False,False,114.71,True
CIPLA.NS,LAURUSLABS.NS,pharma,0.935972,LAURUSLABS.NS~CIPLA.NS,False,0.488478,2.8417,15.4943,False,False,273.67,False
CIPLA.NS,GRANULES.NS,pharma,0.472957,GRANULES.NS~CIPLA.NS,False,0.871237,6.5544,15.4943,False,False,93.17,True
CIPLA.NS,NATCOPHARM.NS,pharma,0.62541,NATCOPHARM.NS~CIPLA.NS,False,2.77379,4.1344,15.4943,False,False,139.79,False
CIPLA.NS,GLENMARK.NS,pharma,0.164217,CIPLA.NS~GLENMARK.NS,False,0.762188,10.5448,15.4943,False,False,109.71,True
DRREDDY.NS,LUPIN.NS,pharma,0.497429,DRREDDY.NS~LUPIN.NS,False,0.715065,6.2348,15.4943,False,False,140.69,False
DRREDDY.NS,AUROPHARMA.NS,pharma,0.214616,DRREDDY.NS~AUROPHARMA.NS,False,0.574785,11.4802,15.4943,False,False,111.89,True
DRREDDY.NS,DIVISLAB.NS,pharma,0.749291,DIVISLAB.NS~DRREDDY.NS,False,0.841828,7.6717,15.4943,False,False,152.71,False
DRREDDY.NS,TORNTPHARM.NS,pharma,0.11942,DRREDDY.NS~TORNTPHARM.NS,False,0.743316,8.6425,15.4943,False,False,52.24,True
DRREDDY.NS,ALKEM.NS,pharma,0.341852,DRREDDY.NS~ALKEM.NS,False,0.788766,8.481,15.4943,False,False,58.95,True
DRREDDY.NS,IPCALAB.NS,pharma,0.276997,IPCALAB.NS~DRREDDY.NS,False,0.989486,10.4656,15.4943,False,False,55.22,True
DRREDDY.NS,BIOCON.NS,pharma,0.774248,BIOCON.NS~DRREDDY.NS,False,4.74127,3.8132,15.4943,False,False,178.62,False
DRREDDY.NS,ABBOTINDIA.NS,pharma,0.256937,ABBOTINDIA.NS~DRREDDY.NS,False,0.913187,13.6756,15.4943,False,False,70.92,True
DRREDDY.NS,GLAXO.NS,pharma,0.384709,GLAXO.NS~DRREDDY.NS,False,2.511253,7.1179,15.4943,False,False,76.84,True
DRREDDY.NS,PFIZER.NS,pharma,0.569684,PFIZER.NS~DRREDDY.NS,False,1.989695,7.2109,15.4943,False,False,96.02,True
DRREDDY.NS,ZYDUSLIFE.NS,pharma,0.0543,DRREDDY.NS~ZYDUSLIFE.NS,False,0.670966,13.2279,15.4943,False,False,39.69,True
DRREDDY.NS,SANOFI.NS,pharma,0.054986,SANOFI.NS~DRREDDY.NS,False,1.725549,11.957,15.4943,False,False,48.4,True
DRREDDY.NS,LAURUSLABS.NS,pharma,0.822319,DRREDDY.NS~LAURUSLABS.NS,False,0.259631,12.9113,15.4943,False,False,156.87,False
DRREDDY.NS,GRANULES.NS,pharma,0.057776,DRREDDY.NS~GRANULES.NS,False,0.518451,16.3324,15.4943,True,False,34.49,True
DRREDDY.NS,NATCOPHARM.NS,pharma,0.607289,NATCOPHARM.NS~DRREDDY.NS,False,1.48815,12.0064,15.4943,False,False,82.27,True
DRREDDY.NS,GLENMARK.NS,pharma,0.039285,DRREDDY.NS~GLENMARK.NS,True,0.556254,19.6624,15.4943,True,True,81.61,True
LUPIN.NS,AUROPHARMA.NS,pharma,0.045706,AUROPHARMA.NS~LUPIN.NS,True,0.960175,13.7979,15.4943,False,False,36.85,True
LUPIN.NS,DIVISLAB.NS,pharma,0.774276,DIVISLAB.NS~LUPIN.NS,False,1.598119,3.3089,15.4943,False,False,320.27,False
LUPIN.NS,TORNTPHARM.NS,pharma,0.825098,TORNTPHARM.NS~LUPIN.NS,False,1.346267,5.3258,15.4943,False,False,260.56,False
LUPIN.NS,ALKEM.NS,pharma,0.535521,ALKEM.NS~LUPIN.NS,False,1.498852,4.1957,15.4943,False,False,169.05,False
LUPIN.NS,IPCALAB.NS,pharma,0.463874,IPCALAB.NS~LUPIN.NS,False,1.508096,6.4024,15.4943,False,False,146.43,False
LUPIN.NS,BIOCON.NS,pharma,0.815538,BIOCON.NS~LUPIN.NS,False,4.598935,3.2436,15.4943,False,False,202.82,False
LUPIN.NS,ABBOTINDIA.NS,pharma,0.213463,ABBOTINDIA.NS~LUPIN.NS,False,1.856859,9.7451,15.4943,False,False,158.2,False
LUPIN.NS,GLAXO.NS,pharma,0.180462,GLAXO.NS~LUPIN.NS,False,2.393972,7.2521,15.4943,False,False,64.69,True
LUPIN.NS,PFIZER.NS,pharma,0.581446,PFIZER.NS~LUPIN.NS,False,2.927798,4.9469,15.4943,False,False,142.27,False
